title,summary,url,published,sentiment_score,sentiment_label,source_api,text_for_sentiment,relevance_score,full_text_fetched,relevance
Hindustan Aeronautics Limited SC - Detailed squad 24/25 (Gallery) - Transfermarkt,Hindustan Aeronautics Limited SC - Detailed squad 24/25 (Gallery)  Transfermarkt,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPTmsxdkc0d2RWSE1aQkN6VzJPakVLbGFmTmhfZ1ZxcDkyMWFEUVV4NXlzZDNDRlZQZEQzY3BqWGZHQkR4bEJrSmZielFoLWxLN2sxd0toOE83RFprLUc1a1ZUOG15bkx4MmRjVFZoeFozQjlsTXRmMzlWZDBXVURPS2dtTExWX2FLZUtJS2RIV0FnQks5ek5mdng1dnl2djdKc2ZwY1BZZXFNdw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Tue, 26 May 2026 12:22:11 GMT",,,GNews,Hindustan Aeronautics Limited SC - Detailed squad 24/25 (Gallery)  Transfermarkt,0.9,,
"Hindustan Aeronautics Limited Stock 12‑Month Price Target Cut to INR 5184.58, Implies 18% Upside - TradingView","Hindustan Aeronautics Limited Stock 12‑Month Price Target Cut to INR 5184.58, Implies 18% Upside  TradingView",https://news.google.com/rss/articles/CBMi7AFBVV95cUxOX2t1eklDckVGeXRvRlBmWjRzb012bUNUcEJLbVB2c3h2NmNHWUlmZWNweXdFaFdxOFpwblNQckY2VHFhRF92ZHFWZHc5LU1pWVNMdXlwem43TDRkWjJpTGZoYWx3bDB1cmx1enBxSzg1LVpQYXBONVhsekRvbVJwSmM4QWhfRHJmU0JQT09YX1o1eFJrVEp5Y0dOSEM1RzJVZGZ2MUYyT3J6c2xjd193T1ZENjNJa0JXazRZMVAyVmpQSlc5UXRZYk1jTDBtMm5ON0J5cElVR3BZUHI0QkNfeTVjRFN1RFZDX1A2bA?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Mon, 18 May 2026 07:00:00 GMT",,,GNews,"Hindustan Aeronautics Limited Stock 12‑Month Price Target Cut to INR 5184.58, Implies 18% Upside  TradingView",0.9,,
"Hindustan Aeronautics Limited Announces Senior Management Change: GM (Planning) to Superannuate on May 31, 2026 - scanx.trade","Hindustan Aeronautics Limited Announces Senior Management Change: GM (Planning) to Superannuate on May 31, 2026  scanx.trade",https://news.google.com/rss/articles/CBMi9wFBVV95cUxPUXFlUkhISEVkck9RcHI1dy10WkpvSDBYWkw0T3FiNXdkX2tnTUI5QXhzTmZTcjNyNW02bjFvcWpVU0hTTVZacDhzaEVqVVdnZmJPYjRyam1vS3dtbDBvUzdMcjRweVk4UlUzQ2tXSzRLdlNYakRYWHpvN1lnYjZmdDk2T3BEekhJQnJ5aVNoZkdfTXlRR1lHMkx1ZUx6Qk55VXNUM1RfSzhlTDdpMldOSDdoRHhMN2V4eE4tN1dtYTNJc1VWMHBmRXBaekVVNnBNR0RLYWdhckUtbU04XzF5eXNyVmR3WlM5R3RnRFVMUHM3UUxTYmcw?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Wed, 27 May 2026 05:50:27 GMT",,,GNews,"Hindustan Aeronautics Limited Announces Senior Management Change: GM (Planning) to Superannuate on May 31, 2026  scanx.trade",0.9,,
Tejas veteran steps into to job at HAL - FlightGlobal,"A veteran of the Hindustan Aeronautics (HAL) Tejas Light Combat Aircraft programme has been tapped as the company’s new leader. Ravi K has assumed the role of HAL’s chairman and managing director following the retirement of **DK Sunil**, according to the company. has held several roles, including leading the the Tejas fighter programme, concluding sales of 180 examples to the Indian air force. He was also instrumental in the sale of 156 Light Combat Helicopters to the army and air force. In addition to aircraft sales, HAL says that he helped improve aircraft serviceability and improved communications with HAL’s customers, as well as improving the company’s production capabilities through outsourcing. Greg Waldron is the Defence Managing Editor at FlightGlobal, leading the publication’s global defence coverage. The US Air Force’s most recent funding request covers the purchase of 24 F-15EX fighters in both 2027 and 2028, meeting Boeing’s near-term goal of increasing production to two aircraft monthly.",https://www.flightglobal.com/fixed-wing/2026/05/tejas-veteran-steps-into-to-job-at-hal/,,,,Tavily,"A veteran of the Hindustan Aeronautics (HAL) Tejas Light Combat Aircraft programme has been tapped as the company’s new leader. Ravi K has assumed the role of HAL’s chairman and managing director following the retirement of **DK Sunil**, according to the company. has held several roles, including leading the the Tejas fighter programme, concluding sales of 180 examples to the Indian air force. He was also instrumental in the sale of 156 Light Combat Helicopters to the army and air force. In addition to airc",0.675,,0.199308
Aitech Awarded $63M Contract for Avionics Computing Solutions to Power India's Light Combat Helicopter Program,"Hindustan Aeronautics Limited Selected Aitech for Trusted Avionics Computing Technology and Long–Term Program Support BENGALURU, India, May 19, 2026 /PRNewswire/ -- Aitech, a leading provider of rugged embedded computing solutions for aerospace and defense, a…",https://www.prnewswire.com/news-releases/aitech-awarded-63m-contract-for-avionics-computing-solutions-to-power-indias-light-combat-helicopter-program-302775193.html,2026-05-19T05:00:00Z,,,NewsAPI,"Hindustan Aeronautics Limited Selected Aitech for Trusted Avionics Computing Technology and Long–Term Program Support BENGALURU, India, May 19, 2026 /PRNewswire/ -- Aitech, a leading provider of rugged embedded computing solutions for aerospace and defense, a…",0.5,,
Halliburton Co. stock underperforms Friday when compared to competitors,"Halliburton Co. (HAL) shares fell 1.22% on Friday, closing at $38.85, despite a positive trading session for the broader market. This marks the seventh consecutive day of losses for the stock, while the S&P 500 Index (SPX) and Dow Jones Industrial Average (DJIA) saw gains.",https://www.marketwatch.com/data-news/halliburton-co-stock-underperforms-friday-when-compared-to-competitors-3317a6a0-a2f05e219b3d,20260529T165600,-0.432011,Bearish,AlphaVantage,"Halliburton Co. (HAL) shares fell 1.22% on Friday, closing at $38.85, despite a positive trading session for the broader market. This marks the seventh consecutive day of losses for the stock, while the S&P 500 Index (SPX) and Dow Jones Industrial Average (DJIA) saw gains.",0.425,,
Allstate Corp Raises Stock Holdings in Halliburton Company $HAL,"Allstate Corp significantly increased its stake in Halliburton Company by 115.7% in the fourth quarter, now holding 65,147 shares valued at approximately $1.84 million. Halliburton, an oilfield services company, continues to receive ""Moderate Buy"" ratings from analysts, with a consensus target price of $43.05, and recently reported better-than-expected quarterly earnings and declared a $0.17 per share dividend. Despite some insider selling, institutional investors maintain a substantial ownership of the company's stock.",https://www.marketbeat.com/instant-alerts/filing-allstate-corp-raises-stock-holdings-in-halliburton-company-hal-2026-05-29/,20260529T071154,0.136623,Neutral,AlphaVantage,"Allstate Corp significantly increased its stake in Halliburton Company by 115.7% in the fourth quarter, now holding 65,147 shares valued at approximately $1.84 million. Halliburton, an oilfield services company, continues to receive ""Moderate Buy"" ratings from analysts, with a consensus target price of $43.05, and recently reported better-than-expected quarterly earnings and declared a $0.17 per share dividend. Despite some insider selling, institutional investors maintain a substantial ownership of the com",0.425,,
Legal & General Group Plc Decreases Holdings in Halliburton Company $HAL,"Legal & General Group Plc reduced its stake in Halliburton Company ($HAL) by 4.8% in Q4, selling 273,650 shares but still owning 5.37 million shares valued at approximately $151.8 million. Despite this reduction and recent insider sales, analysts maintain a ""Moderate Buy"" consensus rating for Halliburton, with an average target price of $42.86. The company faces immediate challenges from weaker oil prices and sector-wide selling, yet reported strong Q1 earnings, beating analyst estimates, and announced a quarterly dividend.",https://www.marketbeat.com/instant-alerts/filing-legal-general-group-plc-decreases-holdings-in-halliburton-company-hal-2026-05-28/,20260528T090800,0.038648,Neutral,AlphaVantage,"Legal & General Group Plc reduced its stake in Halliburton Company ($HAL) by 4.8% in Q4, selling 273,650 shares but still owning 5.37 million shares valued at approximately $151.8 million. Despite this reduction and recent insider sales, analysts maintain a ""Moderate Buy"" consensus rating for Halliburton, with an average target price of $42.86. The company faces immediate challenges from weaker oil prices and sector-wide selling, yet reported strong Q1 earnings, beating analyst estimates, and announced a qu",0.425,,
"Stocks making big moves yesterday: HighPeak Energy, Zscaler, Halliburton, Viasat, and CrowdStrike","This article details the performance of five stocks that experienced significant movement yesterday: HighPeak Energy, Zscaler, Halliburton, Viasat, and CrowdStrike. HighPeak Energy and Halliburton both saw declines due to a drop in WTI crude oil prices, while Zscaler and CrowdStrike fell after Zscaler's Q3 fiscal results. Viasat, however, rose following a major contract win from the U.S. Space Force.",https://www.theglobeandmail.com/investing/markets/stocks/ZS/pressreleases/2176875/stocks-making-big-moves-yesterday-highpeak-energy-zscaler-halliburton-viasat-and-crowdstrike/,20260528T130944,-0.331457,Somewhat-Bearish,AlphaVantage,"This article details the performance of five stocks that experienced significant movement yesterday: HighPeak Energy, Zscaler, Halliburton, Viasat, and CrowdStrike. HighPeak Energy and Halliburton both saw declines due to a drop in WTI crude oil prices, while Zscaler and CrowdStrike fell after Zscaler's Q3 fiscal results. Viasat, however, rose following a major contract win from the U.S. Space Force.",0.425,,
Noble Appoints Halliburton CEO as Director,"'I am delighted to welcome Jeff to Noble's Board of Directors', Noble Chairman Charles M. Sledge said.",https://finnhub.io/api/news?id=84c768a4b2eb177d7299147bdf8acc61a2f1f5ac2954b53d68c47b698335aeaa,2026-05-27T20:30:24,,,Finnhub,"This article was first published on Rigzone here

Noble Corporation plc announced, in a statement posted on its site, that its board of directors has appointed Jeff Miller, the Chairman of the Board of Directors, President, and Chief Executive Officer of Halliburton, to serve as a director of Noble.

“I am delighted to welcome Jeff to Noble’s Board of Directors,” Noble Chairman Charles M. Sledge said in the statement, on behalf of Noble’s board of directors.

“With deep industry expertise and a proven stren",0.425,True,
